Condition,WinRate,WinRate_CI_L,WinRate_CI_U,DmgDealt,DmgDealt_CI_L,DmgDealt_CI_U,DmgReceived,DmgReceived_CI_L,DmgReceived_CI_U
AGL_UI_adv,0.76,0.67,0.84,2109176.488855869,1975212.3265851897,2246007.6652488397,2600.0579494799404,1641.3908765405818,3729.744922074986
AGL_UI_adv_LLM,0.71,0.62,0.8,1817562.876068376,1706545.083297619,1934089.2626434944,5995.407407407408,4468.149948145234,7637.351198169004
AGL_UI_no_adv,0.54,0.44,0.64,972723.1677675033,911571.7563130584,1034247.9163656072,15427.392338177015,11759.952828433214,19518.450350601237
AGL_UI_no_adv_LLM,0.43,0.34,0.53,946119.3425414364,883389.1132759808,1009647.2244984753,27768.67541436464,22761.42355052065,33227.89198381822
Baseline1,0.27,0.19,0.36,0.0,0.0,0.0,0.0,0.0,0.0
Baseline2,0.34,0.25,0.43,0.0,0.0,0.0,0.0,0.0,0.0
Baseline3,0.31,0.22,0.4,0.0,0.0,0.0,0.0,0.0,0.0
INT_Vegeta_adv,0.75,0.66,0.83,1483791.597593583,1376487.314524482,1592952.7594750267,4525.610962566845,3261.7751657824933,5863.5370224044
INT_Vegeta_adv_LLM,0.76,0.67,0.84,1499329.8738255033,1395710.763793515,1604154.0543910773,4680.0322147651,3342.5761837590335,6079.376420186943
INT_Vegeta_no_adv,0.52,0.42,0.62,661016.5566878981,612440.7529752827,710508.0135014729,22487.863694267515,17606.92202370162,27569.943679240063
INT_Vegeta_no_adv_LLM,0.37,0.28,0.47,678818.4820441989,628435.0833773351,731599.7026629575,21713.262430939227,17038.102940582754,26625.576883873175
